IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:75:2336:a3b1:7f0:c6f2,3,3,0.00,203.45,77.04
2606:4700:d0:0:41:7a0:143e:a99d,3,3,0.00,203.31,75.94
2606:4700:0:a005:d7bb:6be0:c04a:728b,3,3,0.00,201.51,70.53
2606:4700:130:64:4f31:6823:e452:bb6a,3,3,0.00,200.67,59.04
2606:4700:3002:0:3cb0:31ac:6ad7:1b29,3,3,0.00,200.68,58.63
2a06:98c1:310c:fb:7573:22ee:a24:2d36,3,3,0.00,204.58,58.60
2400:cb00:f00e:52a9:8eb8:d6f0:8cf8:4c3a,3,3,0.00,201.85,56.68
2606:4700:3000:542d:1252:1e8a:eb93:74a7,3,3,0.00,200.50,56.49
2606:4700:3000:0:dea2:4dfc:870c:e5cc,3,3,0.00,201.77,53.29
2606:4700:130:c430:89d0:6c72:ee7a:e86f,3,3,0.00,200.76,49.68
2606:4700:130:c430:89d0:6c72:ee0a:32e1,3,3,0.00,200.66,44.21
2606:4700:0:42:1645:b049:7c6e:bc92,3,3,0.00,196.37,43.95
2606:4700:0:42:7e11:c18b:9f23:fb53,3,3,0.00,204.56,41.71
2606:4700:3007:88:8e5d:2b55:95e6:ee2f,3,3,0.00,201.26,39.43
2400:cb00:f00e:fb6c:699b:505f:953a:bac3,3,3,0.00,201.21,37.83
2a06:98c1:310a:f5c5:f36:1398:10d:94d1,3,3,0.00,201.16,35.70
2606:4700:3000:542d:1252:1e38:40b2:9191,3,3,0.00,201.88,35.61
2400:cb00:f00e:521a:369f:506f:ae8d:543d,3,3,0.00,200.51,29.65
2606:4700:3007:6aa4:fb81:453:ce0b:d7c3,3,3,0.00,201.32,28.59
2606:4700:130:c430:89d0:6c72:dff:fa5f,3,3,0.00,201.41,19.00
